n,alpha,q,seed,F_q95_exact,F_q95_chi2naive,pF_gt10_null,r2_q95_beta,r2_q95_mc,ks_stat,ks_p,spearman_F_r2,theta_det80,theta_folk80,theta_harm_k1_d0.1
250,0.1,25,1246844684,1.5550918864293142,1.5060993653393109,1.1170720701678009e-24,0.14733096624470854,0.14991763912802356,0.015693090055795444,0.7020573730995725,1.0,0.09612222222222223,0.518744776119403,0.4736842105263158
250,0.2,50,3293207448,1.4146187976542883,1.350096130990824,3.5027821312031375e-33,0.26125916717666753,0.2617742975937371,0.024791355422750017,0.168219674488841,1.0,0.12537882352941176,0.680876802507837,0.6428571428571429
250,0.3,75,1941843782,1.3643018480724614,1.2828889433800512,9.484183476945506e-36,0.3689660502293714,0.3709901922626027,0.018850493312749572,0.4703155445404813,1.0,0.15822788844621516,0.7604324561403508,0.7297297297297297
250,0.4,100,1236696870,1.3448390569118687,1.2434211340400407,5.290190723654658e-35,0.4727293987490874,0.4715001856029394,0.014419094443985203,0.7942995537210599,1.0,0.18787526881720432,0.8072750000000001,0.782608695652174
250,0.5,124,1072074608,1.3433547013934515,1.217656693673426,2.788617174463418e-32,0.5693426414576241,0.5679247809989358,0.010619552485349515,0.9760212197979875,1.0,0.2178546218487395,0.8412416539050536,0.8181818181818182
250,0.6,149,2124426339,1.358089685155077,1.197888273468855,5.52351853199502e-28,0.6670571471958266,0.6681539355939572,0.014396124753573991,0.7958835611142334,1.0,0.25689680851063834,0.8726250737463127,0.84375
250,0.7,174,687796015,1.3953922246334511,1.1826357860908399,1.401644029717975e-22,0.761604711774198,0.7645591173267096,0.012773857519468135,0.8956309011241207,1.0,0.31332595419847326,0.8864082077051927,0.863013698630137
250,0.8,199,4164789671,1.4783907727498957,1.1704111646657076,2.5880706715462e-16,0.8522594585756662,0.8527713767771626,0.019665262642271863,0.416394669418927,1.0,0.37535342465753424,0.8965452773613194,0.878048780487805
250,0.9,224,2979192515,1.7223745165144333,1.1603321846002153,2.505543847343899e-09,0.9368643778286299,0.9350161728800047,0.014048113541668239,0.8194016869048418,1.0,0.513575,0.9204531722054381,0.8901098901098901
1000,0.1,100,1237367206,1.261342060362392,1.2434211340400407,5.249276509690671e-92,0.12292174385597336,0.12352196859353831,0.031364250685014694,0.0382710118426729,1.0,0.05498349056603774,0.5010435483870967,0.4736842105263158
1000,0.2,200,2630116767,1.1952501348738278,1.1699713444616247,3.649374048029211e-126,0.23006594559336954,0.2295479224715119,0.025925537619538308,0.13357756430168632,1.0,0.061871559633027526,0.6692705882352942,0.6428571428571429
1000,0.3,300,1549656802,1.170853370777583,1.1379837070292291,1.2665793097198517e-136,0.33412984799126233,0.33226204217282607,0.015144450707586965,0.7426471473237676,1.0,0.08292671755725192,0.7458941507311586,0.7297297297297297
1000,0.4,400,3181184295,1.1606708178384737,1.119081169577021,7.766859393813839e-134,0.43623240051221424,0.43731752807973306,0.015465213149008006,0.7190279484182227,1.0,0.09919881656804734,0.7962465631929047,0.782608695652174
1000,0.5,500,3937694273,1.1586553765546177,1.1062536178685138,1.4341255128548951e-122,0.5367486580483829,0.5371537280119248,0.017726285567158273,0.5499474440042871,1.0,0.11277500000000001,0.841140614334471,0.8181818181818182
1000,0.6,599,3359417604,1.163625125256079,1.096904926992174,1.340864902471827e-105,0.6347943366258783,0.6356519497363288,0.02320700694818703,0.22807253186068233,1.0,0.1371393442622951,0.8643958801498127,0.84375
1000,0.7,699,1764248061,1.1776799785404575,1.0895803673008595,4.0190408367502797e-84,0.7322536436309082,0.7323433180368542,0.017882964837878296,0.5385454485608986,1.0,0.15963964285714288,0.8883727272727273,0.863013698630137
1000,0.8,799,599622686,1.208962647834631,1.0836924348548345,2.7425126773652552e-59,0.827757762945218,0.8267037418901424,0.011989770687249601,0.9326284410753771,1.0,0.20730403225806454,0.891860593220339,0.878048780487805
1000,0.9,899,379628258,1.295550045005803,1.078826289429188,9.31218342783767e-32,0.9202022274945566,0.9200835391717416,0.021412260189599186,0.3138125093989096,1.0,0.29314055944055945,0.9076623376623377,0.8901098901098901
