experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.01,0.0,0.61,0.6266666666666667,0.15578179077872362,0.14584103617001712,0.1666345776423677,0.10900000000000001,300,20260823,0.0,6.244550680339671
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.02,0.0,0.9666666666666667,0.9666666666666667,0.19154401104014554,0.17794071332758699,0.20435414553387785,0.11800000000000001,300,20260823,0.0,8.682214905694135
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.04,0.0,1.0,1.0,0.2580558605974558,0.24379725123482116,0.27369860033242527,0.136,300,20260823,0.0,12.044528715266912
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.07,0.0,1.0,1.0,0.34831096287961316,0.33307885327651243,0.36556778934500045,0.16300000000000003,300,20260823,0.0,15.337882973084755
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.1,0.0,1.0,1.0,0.4273627380847063,0.409906396345589,0.44150162066819726,0.19,300,20260823,0.0,17.583092617876904
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.15,0.0,1.0,1.0,0.5249269265183715,0.5096946415419755,0.5396571042897181,0.23500000000000001,300,20260823,0.46,19.446998510933987
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.22,0.0,1.0,1.0,0.6278098639336926,0.6151068436649246,0.6426545600782063,0.29800000000000004,300,20260823,1.0,20.95999618810675
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.32,0.0,1.0,1.0,0.7321726759109737,0.720968958795795,0.7429719828917186,0.388,300,20260823,1.0,22.20161530092779
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.45,0.0,1.0,1.0,0.8237247143929884,0.8155984054603058,0.8303796429074624,0.505,300,20260823,1.0,23.119029767484633
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.62,0.0,1.0,1.0,0.9015079145130764,0.8973905406097578,0.90618652865173,0.658,300,20260823,1.0,23.694952847961872
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.8,0.0,1.0,1.0,0.9571831307415777,0.9553639179802448,0.9589405846536088,0.8200000000000001,300,20260823,1.0,24.166157978362833
phase3_power_surface,n1000_a0.1_p5,1000,5,100,0.1,0.93,0.0,1.0,1.0,0.9867496865202279,0.9861950452845566,0.9873826408773689,0.937,300,20260823,1.0,24.471996723490307
