experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.01,0.0,0.06,0.06,0.5574237954791426,0.547259954817298,0.5685848658731623,0.505,300,20260823,0.0,4.262602804368172
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.02,0.0,0.30666666666666664,0.31,0.569435730080173,0.5582995623656709,0.5824809367770091,0.51,300,20260823,0.0,4.8458491305622236
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.04,0.0,0.8366666666666667,0.8366666666666667,0.5964890572895174,0.583578068040578,0.6115823694156248,0.52,300,20260823,0.0,6.2876159235742275
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.07,0.0,0.9933333333333333,0.9933333333333333,0.6445213031371644,0.6306485851852592,0.6556721687419071,0.535,300,20260823,0.0,9.200632643566315
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.1,0.0,1.0,1.0,0.6837709036001587,0.6716844575064936,0.6946730936728766,0.55,300,20260823,0.0,11.54061811432344
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.15,0.0,1.0,1.0,0.7380709338010636,0.7277991142129538,0.7495612210914806,0.575,300,20260823,0.0,14.842069434930968
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.22,0.0,1.0,1.0,0.7933284937743816,0.7858423020315943,0.8027070707674212,0.61,300,20260823,0.0,18.161912781307798
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.32,0.0,1.0,1.0,0.8537786922232034,0.8464020382793768,0.8602067357747667,0.66,300,20260823,0.0,22.277841608987377
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.45,0.0,1.0,1.0,0.9026816608541512,0.8972562882490438,0.9074096522388648,0.725,300,20260823,0.17333333333333334,25.44831478435464
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.62,0.0,1.0,1.0,0.9459335201974339,0.9428703144964341,0.9482596534542119,0.81,300,20260823,1.0,28.56296158205286
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.8,0.0,1.0,1.0,0.9762883982348574,0.975045817649199,0.977670088882244,0.9,300,20260823,1.0,30.760313117857216
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.93,0.0,1.0,1.0,0.9926843938527659,0.9922767261816128,0.9930325901556097,0.9650000000000001,300,20260823,1.0,32.23815411394061
