experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.01,0.0,0.3233333333333333,0.32,0.6567945943463707,0.6492762375825085,0.6660341213664414,0.505,300,20260823,0.0,16.591354976735232
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.02,0.0,0.99,0.99,0.701700648200843,0.6890830383245279,0.7136237043288751,0.51,300,20260823,0.0,21.506779499503338
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.04,0.0,1.0,1.0,0.7737169971068429,0.7632166484949517,0.7830995205658775,0.52,300,20260823,0.0,30.31552109075683
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.07,0.0,1.0,1.0,0.8365352449567259,0.8297868842096385,0.843686744786497,0.535,300,20260823,0.0,39.3640671252633
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.1,0.0,1.0,1.0,0.8758229202672319,0.8687874510046074,0.8822462550514818,0.55,300,20260823,0.0,46.230765132868164
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.15,0.0,1.0,1.0,0.9122930791186021,0.9078258967773934,0.9170003810896941,0.575,300,20260823,0.7,53.797795854406914
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.22,0.0,1.0,1.0,0.9414504930132301,0.9378694148125768,0.9441944698543538,0.61,300,20260823,1.0,61.461421151378836
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.32,0.0,1.0,1.0,0.9627725224088317,0.9606033490603278,0.9646307340253029,0.66,300,20260823,1.0,68.29900654671575
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.45,0.0,1.0,1.0,0.9778553837114545,0.9766742226451911,0.9789412346628718,0.725,300,20260823,1.0,74.33614669175196
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.62,0.0,1.0,1.0,0.9885182165852164,0.9879566313342143,0.9891031237105226,0.81,300,20260823,1.0,79.27018855595165
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.8,0.0,1.0,1.0,0.9952737941081173,0.995032634490689,0.9955187339702732,0.9,300,20260823,1.0,83.15361168764497
phase3_power_surface,n1000_a0.5_p25_R2,1000,25,500,0.5,0.93,0.0,1.0,1.0,0.9985585363501075,0.9984869376971828,0.9986436148739404,0.9650000000000001,300,20260823,1.0,85.03163869776049
