cell_id,alpha,kappa,p,theta,cov_all,nF,covF_fixed,nEnv,covEnv_fixed
a0.3_k2.0_none_p5_th0.1,0.3,2.0,5,0.1,0.0,0,,0,
a0.3_k2.0_none_p5_th0.28,0.3,2.0,5,0.28,0.0,0,,0,
a0.3_k2.0_none_p5_th0.4,0.3,2.0,5,0.4,0.0,400,0.0,400,0.0
a0.3_k2.0_none_p5_th0.55,0.3,2.0,5,0.55,0.0,400,0.0,400,0.0
a0.3_k2.0_none_p5_th0.72,0.3,2.0,5,0.72,0.0,400,0.0,400,0.0
a0.3_k2.0_none_p5_th0.88,0.3,2.0,5,0.88,0.0,400,0.0,400,0.0
a0.5_k0.5_none_p1_th0.05,0.5,0.5,1,0.05,0.9475,0,,0,
a0.5_k0.5_none_p1_th0.18,0.5,0.5,1,0.18,0.9475,0,,0,
a0.5_k0.5_none_p1_th0.1,0.5,0.5,1,0.1,0.9475,0,,0,
a0.5_k0.5_none_p1_th0.28,0.5,0.5,1,0.28,0.9475,0,,0,
a0.5_k0.5_none_p1_th0.4,0.5,0.5,1,0.4,0.9475,0,,0,
a0.5_k0.5_none_p1_th0.55,0.5,0.5,1,0.55,0.9475,0,,0,
a0.5_k0.5_none_p1_th0.72,0.5,0.5,1,0.72,0.9475,0,,0,
a0.5_k0.5_none_p1_th0.88,0.5,0.5,1,0.88,0.9475,400,0.9475,400,0.9475
a0.5_k0.5_none_p5_th0.05,0.5,0.5,5,0.05,0.07,0,,0,
a0.5_k0.5_none_p5_th0.18,0.5,0.5,5,0.18,0.0,0,,0,
a0.5_k0.5_none_p5_th0.1,0.5,0.5,5,0.1,0.0,0,,0,
a0.5_k0.5_none_p5_th0.28,0.5,0.5,5,0.28,0.0,0,,0,
a0.5_k0.5_none_p5_th0.4,0.5,0.5,5,0.4,0.0,0,,0,
a0.5_k0.5_none_p5_th0.55,0.5,0.5,5,0.55,0.0,400,0.0,400,0.0
a0.5_k0.5_none_p5_th0.72,0.5,0.5,5,0.72,0.0,400,0.0,400,0.0
a0.5_k0.5_none_p5_th0.88,0.5,0.5,5,0.88,0.0,400,0.0,400,0.0
a0.5_k2.0_none_p1_th0.05,0.5,2.0,1,0.05,0.9325,0,,0,
a0.5_k2.0_none_p1_th0.18,0.5,2.0,1,0.18,0.9325,0,,0,
a0.5_k2.0_none_p1_th0.1,0.5,2.0,1,0.1,0.9325,0,,0,
a0.5_k2.0_none_p1_th0.28,0.5,2.0,1,0.28,0.9325,0,,0,
a0.5_k2.0_none_p1_th0.4,0.5,2.0,1,0.4,0.9325,0,,0,
a0.5_k2.0_none_p1_th0.55,0.5,2.0,1,0.55,0.9325,0,,0,
a0.5_k2.0_none_p1_th0.72,0.5,2.0,1,0.72,0.9325,0,,0,
a0.5_k2.0_none_p1_th0.88,0.5,2.0,1,0.88,0.9325,400,0.9325,400,0.9325
a0.5_k2.0_none_p5_th0.05,0.5,2.0,5,0.05,0.0875,0,,0,
a0.5_k2.0_none_p5_th0.18,0.5,2.0,5,0.18,0.0,0,,0,
a0.5_k2.0_none_p5_th0.1,0.5,2.0,5,0.1,0.0,0,,0,
a0.5_k2.0_none_p5_th0.28,0.5,2.0,5,0.28,0.0,0,,0,
a0.5_k2.0_none_p5_th0.4,0.5,2.0,5,0.4,0.0,0,,2,
a0.5_k2.0_none_p5_th0.55,0.5,2.0,5,0.55,0.0,400,0.0,400,0.0
a0.5_k2.0_none_p5_th0.72,0.5,2.0,5,0.72,0.0,400,0.0,400,0.0
a0.5_k2.0_none_p5_th0.88,0.5,2.0,5,0.88,0.0,400,0.0,400,0.0
a0.7_k0.5_none_p1_th0.05,0.7,0.5,1,0.05,0.9475,0,,0,
a0.7_k0.5_none_p1_th0.18,0.7,0.5,1,0.18,0.9475,0,,0,
a0.7_k0.5_none_p1_th0.1,0.7,0.5,1,0.1,0.9475,0,,0,
a0.7_k0.5_none_p1_th0.28,0.7,0.5,1,0.28,0.9475,0,,0,
a0.7_k0.5_none_p1_th0.4,0.7,0.5,1,0.4,0.9475,0,,0,
a0.7_k0.5_none_p1_th0.55,0.7,0.5,1,0.55,0.9475,0,,0,
a0.7_k0.5_none_p1_th0.72,0.7,0.5,1,0.72,0.9475,0,,0,
a0.7_k0.5_none_p1_th0.88,0.7,0.5,1,0.88,0.9475,377,0.9496021220159151,398,0.9472361809045227
a0.7_k0.5_none_p5_th0.05,0.7,0.5,5,0.05,0.415,0,,0,
a0.7_k0.5_none_p5_th0.18,0.7,0.5,5,0.18,0.0,0,,0,
a0.7_k0.5_none_p5_th0.1,0.7,0.5,5,0.1,0.0175,0,,0,
a0.7_k0.5_none_p5_th0.28,0.7,0.5,5,0.28,0.0,0,,0,
a0.7_k0.5_none_p5_th0.4,0.7,0.5,5,0.4,0.0,0,,0,
a0.7_k0.5_none_p5_th0.55,0.7,0.5,5,0.55,0.0,160,0.0,373,0.0
a0.7_k0.5_none_p5_th0.72,0.7,0.5,5,0.72,0.0,400,0.0,400,0.0
a0.7_k0.5_none_p5_th0.88,0.7,0.5,5,0.88,0.0,400,0.0,400,0.0
a0.7_k2.0_none_p1_th0.05,0.7,2.0,1,0.05,0.9475,0,,0,
a0.7_k2.0_none_p1_th0.18,0.7,2.0,1,0.18,0.9475,0,,0,
a0.7_k2.0_none_p1_th0.1,0.7,2.0,1,0.1,0.9475,0,,0,
a0.7_k2.0_none_p1_th0.28,0.7,2.0,1,0.28,0.9475,0,,0,
a0.7_k2.0_none_p1_th0.4,0.7,2.0,1,0.4,0.9475,0,,0,
a0.7_k2.0_none_p1_th0.55,0.7,2.0,1,0.55,0.9475,0,,0,
a0.7_k2.0_none_p1_th0.72,0.7,2.0,1,0.72,0.9475,0,,0,
a0.7_k2.0_none_p1_th0.88,0.7,2.0,1,0.88,0.9475,381,0.9448818897637795,400,0.9475
a0.7_k2.0_none_p5_th0.05,0.7,2.0,5,0.05,0.335,0,,0,
a0.7_k2.0_none_p5_th0.18,0.7,2.0,5,0.18,0.0,0,,0,
a0.7_k2.0_none_p5_th0.1,0.7,2.0,5,0.1,0.005,0,,0,
