cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,tsls,0.7961902630087389,0.7961073560977877,0.7961073560977877,0.011489668268278143,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,liml,0.8007480691353681,0.8006748849301165,0.8006748849301165,0.010825842515250886,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,fuller,0.8007704217879258,0.8006972497850066,0.8006972497850066,0.010825091091507843,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,bekker,8.43203926061943,2.206398887447013,1.1149229349854513,8.35800412429133,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,jive,0.7962264730435558,0.7961432784433059,0.7961432784433059,0.01150984643359229,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,whiten,0.7961902630087387,0.7961073560977877,0.7961073560977877,0.01148966826826848,0.05,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,pca_l,0.38898629967941345,0.3495462134838006,-0.28163495379093634,0.26831342519795687,0.0005558643690939411,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,trunc_k1,0.3183691216354481,0.31304968738552885,-0.31304968738552885,0.05795507603954478,0.2,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,trunc_k2,0.2843684251937973,0.2421996576488497,-0.05014717911134691,0.27991188198141,0.4,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.18,0.8944271909999159,trunc_k5,0.7961902630087389,0.7961073560977878,0.7961073560977878,0.01148966826826848,1.0,400,20260823
