cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,tsls,0.7722640557823804,0.7721751449387745,0.7721751449387745,0.011718250391343207,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,liml,0.7763171621922926,0.7762392877258261,0.7762392877258261,0.01099565847035272,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,fuller,0.7763371101151847,0.7762592490100902,0.7762592490100902,0.010994856446859144,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,bekker,7.988512950493708,2.22422280720717,0.5497402496065604,7.969574945890666,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,jive,0.7723012022349419,0.7722119306837141,0.7722119306837141,0.01174227760135994,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,whiten,0.7722640557823806,0.7721751449387745,0.7721751449387745,0.011718250391352682,0.05,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,pca_l,0.3912984398878967,0.3532888527787071,-0.29697741847630416,0.2547918404773827,0.0005558643690939411,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,trunc_k1,0.34173717468311776,0.34031345228680315,-0.34031345228680315,0.03116168726236586,0.2,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,trunc_k2,0.2879636029793976,0.25186983394699114,-0.07632188505155689,0.2776652778131487,0.4,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.28,0.8944271909999159,trunc_k5,0.7722640557823806,0.7721751449387745,0.7721751449387745,0.011718250391352682,1.0,400,20260823
