cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.72,0.4472135954999579,tsls,0.0744065443345771,0.07229444635727693,0.07229444635727693,0.017602467602816235,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.72,0.4472135954999579,liml,0.12038394314648175,0.11929319422916089,0.11929319422916089,0.016168722216027026,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.72,0.4472135954999579,fuller,0.12047623540070627,0.11938633717730272,0.11938633717730272,0.016168666973927596,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.72,0.4472135954999579,bekker,0.02453215212166122,0.01939556093151726,-0.0008568426079815461,0.024517183942399958,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.72,0.4472135954999579,jive,0.0744244368758695,0.07231409593914698,0.07231409593914698,0.01759739562532282,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.72,0.4472135954999579,whiten,0.0744065443345771,0.07229444635727691,0.07229444635727691,0.017602467602816283,0.05,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.72,0.4472135954999579,pca_l,2.4771361558018907,0.8037652489340334,0.04758573796005249,2.476679053071626,0.002,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.72,0.4472135954999579,trunc_k1,0.07440654433457708,0.07229444635727691,0.07229444635727691,0.017602467602816235,1.0,400,20260823
