cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.88,0.4472135954999579,tsls,0.030426067987343625,0.028394970656358983,0.028375965172848377,0.010979536132266812,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.88,0.4472135954999579,liml,0.053417939501018474,0.05236402721100996,0.05236402721100996,0.010558641710896278,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.88,0.4472135954999579,fuller,0.05346456170151295,0.05241157123125279,0.05241157123125279,0.010558719572287177,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.88,0.4472135954999579,bekker,0.012605587779682919,0.00996677567793109,-0.0002617304319669704,0.01260287032593265,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.88,0.4472135954999579,jive,0.030432374135100193,0.02840102435323488,0.02838370716446602,0.010977001553272898,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.88,0.4472135954999579,whiten,0.030426067987343625,0.028394970656358976,0.028375965172848377,0.010979536132266812,0.05,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.88,0.4472135954999579,pca_l,1.8142430222624106,0.5727412160207433,0.08605143162250967,1.8122011187899545,0.002,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.88,0.4472135954999579,trunc_k1,0.030426067987343635,0.028394970656358997,0.028375965172848395,0.010979536132266798,1.0,400,20260823
