cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.4,0.8944271909999159,tsls,0.3831959209870684,0.38253228461783606,0.38253228461783606,0.022542517299237546,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.4,0.8944271909999159,liml,0.523987223623855,0.5236843628749553,0.5236843628749553,0.017812877400575397,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.4,0.8944271909999159,fuller,0.5242176365723832,0.5239149518424605,0.5239149518424605,0.017811617822294082,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.4,0.8944271909999159,bekker,0.08452719801518124,0.06690970002931734,-0.009483220226403542,0.08399354581415878,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.4,0.8944271909999159,jive,0.3832131205699199,0.3825479234220525,0.3825479234220525,0.022569494066358955,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.4,0.8944271909999159,whiten,0.3831959209870684,0.38253228461783606,0.38253228461783606,0.022542517299237546,0.05,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.4,0.8944271909999159,pca_l,17.04951252585297,2.190559944423215,-0.7673579802706039,17.032235293681573,0.002,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.4,0.8944271909999159,trunc_k1,0.3831959209870684,0.38253228461783606,0.38253228461783606,0.022542517299237546,1.0,400,20260823
