cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.4,0.8944271909999159,tsls,0.5159126733679062,0.5156031927137599,0.5156031927137599,0.017867126377718215,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.4,0.8944271909999159,liml,0.5384340164382717,0.5381548405004252,0.5381548405004252,0.017336600122601565,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.4,0.8944271909999159,fuller,0.5386484055622826,0.5383693534430573,0.5383693534430573,0.017336207431089656,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.4,0.8944271909999159,bekker,0.4075303592514951,0.18186103046125787,-0.05559556931485424,0.4037203566631362,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.4,0.8944271909999159,jive,0.5159711405937208,0.5156597214452653,0.5156597214452653,0.017923995218050003,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.4,0.8944271909999159,whiten,0.5159126733679062,0.5156031927137599,0.5156031927137599,0.017867126377718215,0.05,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.4,0.8944271909999159,pca_l,28.01173818531432,3.058924205001242,1.3269576500294644,27.98029055527524,0.0011123470522803114,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.4,0.8944271909999159,trunc_k1,0.5159126733679062,0.5156031927137599,0.5156031927137599,0.017867126377718215,1.0,400,20260823
