cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.55,0.8944271909999159,tsls,0.2592184122514877,0.25845540753237517,0.25845540753237517,0.019874294137304137,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.55,0.8944271909999159,liml,0.39430027003267687,0.3939466632168738,0.3939466632168738,0.016695193563804542,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.55,0.8944271909999159,fuller,0.39452906821849965,0.39417564416006984,0.39417564416006984,0.016695724612952215,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.55,0.8944271909999159,bekker,0.04908931317215063,0.039518038747396386,-0.004416641389450285,0.04889022342504149,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.55,0.8944271909999159,jive,0.2592343165057665,0.2584690442343504,0.2584690442343504,0.019904372052223233,,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.55,0.8944271909999159,whiten,0.2592184122514877,0.25845540753237517,0.25845540753237517,0.019874294137304137,0.05,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.55,0.8944271909999159,pca_l,17.82682609809162,2.208504550720384,0.2760788003026722,17.824688194401155,0.002,400,20260823
a0.5_k2.0_none_p1,1000,1,500,0.5,2.0,none,0.55,0.8944271909999159,trunc_k1,0.2592184122514877,0.25845540753237517,0.25845540753237517,0.019874294137304137,1.0,400,20260823
