cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,tsls,0.7199017737660593,0.7197603448277325,0.7197603448277325,0.014269193564530044,,400,20260823
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,liml,0.7212452191006903,0.7211442451324815,0.7211442451324815,0.012068296810488497,,400,20260823
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,fuller,0.7212474855899151,0.7211465131382775,0.7211465131382775,0.012068225150329672,,400,20260823
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,bekker,40.50021657131122,3.332234811056659,-0.9870625631341257,40.48818654644304,,400,20260823
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,jive,0.7199181270795445,0.7197762939273062,0.7197762939273062,0.014289730507997181,,400,20260823
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,whiten,0.7199017737660597,0.7197603448277329,0.7197603448277329,0.014269193564533933,0.05,400,20260823
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,pca_l,0.4125607168797694,0.3940456499332562,-0.38046528059754875,0.15953844480932408,0.0007147962830593281,400,20260823
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,trunc_k1,0.39685963512400335,0.39685488082598397,-0.39685488082598397,0.0019425641176390182,0.2,400,20260823
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,trunc_k2,0.3021746178828026,0.2688460123174405,-0.11422638878908259,0.2797531622642059,0.4,400,20260823
a0.7_k2.0_none_p5,2000,5,1399,0.7,2.0,none,0.88,0.8944271909999159,trunc_k5,0.7199017737660599,0.7197603448277331,0.7197603448277331,0.014269193564530044,1.0,400,20260823
