cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.55,0.8944271909999159,tsls,0.07183671139454496,0.06721578576737298,0.06720396017801702,0.025379929873320137,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.55,0.8944271909999159,liml,0.37473403534672817,0.3743897852948571,0.3743897852948571,0.01605882667300718,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.55,0.8944271909999159,fuller,0.37497901451135207,0.37463496837616916,0.37463496837616916,0.01605932108438916,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.55,0.8944271909999159,bekker,0.030909655972702756,0.02467145959035648,-0.00023765141416398432,0.03090874235804791,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.55,0.8944271909999159,jive,0.07183388495393045,0.06721245653638931,0.06720133903009304,0.02537887034792939,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.55,0.8944271909999159,whiten,0.07183671139454495,0.06721578576737298,0.06720396017801702,0.025379929873320103,0.05,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.55,0.8944271909999159,pca_l,149.7438225939697,8.731327428368463,-6.893276736319662,149.58507659820475,0.01,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.55,0.8944271909999159,trunc_k1,0.07183671139454496,0.06721578576737298,0.06720396017801704,0.025379929873320103,1.0,400,20260823
