cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,tsls,0.7537600202020048,0.7536664742683761,0.7536664742683761,0.011874915528201527,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,liml,0.7569251980751862,0.75684358766906,0.75684358766906,0.011114822777969309,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,fuller,0.7569408528417271,0.7568592554414324,0.7568592554414324,0.011114052069417471,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,bekker,50.737628043068966,4.3250031743095745,2.8738029906838265,50.65617589008822,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,jive,0.7537975549659253,0.7537035889815701,0.7537035889815701,0.011901841408270762,,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,whiten,0.7537600202020047,0.7536664742683761,0.7536664742683761,0.011874915528196852,0.05,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,pca_l,0.3941730522160141,0.36046212661601784,-0.31178000131648953,0.2411755084422512,0.0005558643690939411,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,trunc_k1,0.3608255256157258,0.36038448470953915,-0.36038448470953915,0.017834884818936154,0.2,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,trunc_k2,0.2933657228131563,0.25990235738412654,-0.09650012618650183,0.27704002051630533,0.4,400,20260823
a0.9_k2.0_none_p5,2000,5,1799,0.9,2.0,none,0.4,0.8944271909999159,trunc_k5,0.7537600202020048,0.7536664742683761,0.7536664742683761,0.011874915528201527,1.0,400,20260823
