cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,tsls,0.7293281978622805,0.7282847508734812,0.7282847508734812,0.0389992543799662,,400,20260823
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,liml,0.7867638967471756,0.7866871809966841,0.7866871809966841,0.010986741113304551,,400,20260823
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,fuller,0.7867934377143038,0.7867167427740642,0.7867167427740642,0.010985457171134099,,400,20260823
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,bekker,9.7225340784084,1.8606665083712426,1.345172196287058,9.62902802302231,,400,20260823
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,jive,0.7293461691432429,0.7283032955114868,0.7283032955114868,0.03898902654634837,,400,20260823
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,whiten,0.7293281978622805,0.7282847508734812,0.7282847508734812,0.0389992543799662,0.05,400,20260823
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,pca_l,0.3989753909746693,0.3668323554997467,-0.3252075012395184,0.23113079358003955,0.005,400,20260823
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,trunc_k1,0.38509735309512017,0.3846970388535892,-0.3846970388535892,0.017554476869099035,0.2,400,20260823
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,trunc_k2,0.3095552169953607,0.2737766318198524,-0.10969435368623916,0.2894677549199619,0.4,400,20260823
a0.1_k2.0_none_p5,2000,5,200,0.1,2.0,none,0.18,0.8944271909999159,trunc_k5,0.7293281978622805,0.7282847508734812,0.7282847508734812,0.0389992543799662,1.0,400,20260823
