cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,tsls,0.3694624367837928,0.3685075905752089,0.3685075905752089,0.02654520451366549,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,liml,0.3765864016846552,0.3761091536211778,0.3761091536211778,0.018953165861082904,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,fuller,0.3765941576412541,0.3761169632261127,0.3761169632261127,0.018952296512368082,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,bekker,44.429120360805896,3.9120532690426386,-1.973205628522104,44.385281294394716,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,jive,0.36944125207707895,0.36848644651473095,0.36848644651473095,0.026543878225047023,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,whiten,0.3694624367837929,0.36850759057520904,0.36850759057520904,0.026545204513664447,0.05,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,pca_l,0.4275516408638312,0.3958882219443256,-0.3651506233238477,0.22240824600621265,0.001,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,trunc_k1,0.388845664767052,0.3887610271712251,-0.3887610271712251,0.008112629715730834,0.2,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,trunc_k2,0.2729667265112127,0.247120278089102,-0.20025613056049424,0.18549478686794804,0.4,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.4,0.4472135954999579,trunc_k5,0.3694624367837928,0.3685075905752089,0.3685075905752089,0.02654520451366549,1.0,400,20260823
