cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,tsls,0.4159286396478411,0.41499787614566314,0.41499787614566314,0.027809999530609218,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,liml,0.4238374671970274,0.42335322981406476,0.42335322981406476,0.020254416950160985,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,fuller,0.4238469800516984,0.42336293461630736,0.42336293461630736,0.02025063189169895,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,bekker,60.72962082906578,4.229913357459809,-2.6362836751167675,60.67237307396516,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,jive,0.41591513597031954,0.4149843891921883,0.4149843891921883,0.027809298013358654,,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,whiten,0.4159286396478411,0.41499787614566314,0.41499787614566314,0.027809999530609218,0.05,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,pca_l,0.4367688096731992,0.3894434872504957,-0.32880582042463224,0.28749560963296084,0.001,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,trunc_k1,0.3501088796148604,0.3436809486672987,-0.3436809486672987,0.06678048448699975,0.2,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,trunc_k2,0.2437363126634123,0.21833280327543378,-0.15457908877302948,0.18844812396215718,0.4,400,20260823
a0.5_k0.5_none_p5,2000,5,1000,0.5,0.5,none,0.05,0.4472135954999579,trunc_k5,0.41592863964784116,0.41499787614566314,0.41499787614566314,0.027809999530610217,1.0,400,20260823
