cell_id,n,p,q,alpha,kappa,het,rule,ar_cov_95,n_flagged,B,seed
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,F>10,0.4051724137931034,116,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,KP_rk>10,0.7675,400,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,spectral_env,0.5871559633027523,218,400,20260823
