cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,tsls,0.7209895968883202,0.7206447692302638,0.7206447692302638,0.02229608490839588,,400,20260823
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,liml,0.7289694462585247,0.7288693550884033,0.7288693550884033,0.01207960228960918,,400,20260823
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,fuller,0.7289753591976859,0.7288752759520868,0.7288752759520868,0.012079173115924652,,400,20260823
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,bekker,46.17492683192211,3.9856778705094134,3.0908158039206035,46.07136557124821,,400,20260823
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,jive,0.7209905426414966,0.7206440941306258,0.7206440941306258,0.022348426636555917,,400,20260823
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,whiten,0.7209895968883204,0.720644769230264,0.720644769230264,0.02229608490839339,0.05,400,20260823
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,pca_l,0.3887080559474292,0.37062048330303404,-0.3485137853430723,0.17213975190022976,0.0016666666666666668,400,20260823
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,trunc_k1,0.3957018911896267,0.3956884151720517,-0.3956884151720517,0.0032656989569123363,0.2,400,20260823
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,trunc_k2,0.2946282361655954,0.26063661715730646,-0.11545089399696748,0.27106620708113144,0.4,400,20260823
a0.3_k2.0_none_p5,2000,5,600,0.3,2.0,none,0.72,0.8944271909999159,trunc_k5,0.7209895968883203,0.720644769230264,0.720644769230264,0.022296084908390898,1.0,400,20260823
