cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.88,0.8944271909999159,tsls,0.09914982869983902,0.0986221638826284,0.0986221638826284,0.010215543172803215,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.88,0.8944271909999159,liml,0.10878593028427722,0.10830679768101874,0.10830679768101874,0.010198833457729147,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.88,0.8944271909999159,fuller,0.1088805320269267,0.10840173470404153,0.10840173470404153,0.01019971409507188,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.88,0.8944271909999159,bekker,0.020379190214429504,0.016279240693317036,2.8505587159677327e-06,0.02037919001506719,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.88,0.8944271909999159,jive,0.09916011298815408,0.09863201671685402,0.09863201671685402,0.010220239047581603,,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.88,0.8944271909999159,whiten,0.099149828699839,0.0986221638826284,0.0986221638826284,0.010215543172803045,0.05,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.88,0.8944271909999159,pca_l,2.2971378624933867,0.5795487478432991,0.11121122988460919,2.294444251152823,0.0011123470522803114,400,20260823
a0.9_k2.0_none_p1,1000,1,899,0.9,2.0,none,0.88,0.8944271909999159,trunc_k1,0.09914982869983899,0.09862216388262837,0.09862216388262837,0.0102155431728033,1.0,400,20260823
