cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,tsls,0.36148158936600855,0.36081525721458374,0.36081525721458374,0.021938313785462113,,400,20260823
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,liml,0.36255543674225404,0.3620935526883997,0.3620935526883997,0.01829491221240725,,400,20260823
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,fuller,0.36255729347011123,0.36209537718268203,0.36209537718268203,0.018295597046928836,,400,20260823
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,bekker,38.234902999127186,4.895054992051656,-0.36714256027924763,38.23314025414466,,400,20260823
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,jive,0.36144045009015646,0.3607774171234477,0.3607774171234477,0.021882738747897,,400,20260823
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,whiten,0.361481589366009,0.36081525721458424,0.36081525721458424,0.02193831378546148,0.05,400,20260823
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,pca_l,0.4093323494379505,0.39321522101197354,-0.3841058879020238,0.1414766382672076,0.0007147962830593281,400,20260823
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,trunc_k1,0.3982964952995452,0.3982927357503284,-0.3982927357503284,0.0017305537898857745,0.2,400,20260823
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,trunc_k2,0.289226141344838,0.26174364166712294,-0.21176808217528528,0.19699248769693178,0.4,400,20260823
a0.7_k0.5_none_p5,2000,5,1399,0.7,0.5,none,0.88,0.4472135954999579,trunc_k5,0.3614815893660092,0.36081525721458446,0.36081525721458446,0.02193831378546148,1.0,400,20260823
