cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.4,0.4472135954999579,tsls,0.19223473696323995,0.1900959382639027,0.1900959382639027,0.0285959499036584,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.4,0.4472135954999579,liml,0.2521320348467778,0.2509994020425536,0.2509994020425536,0.02387180701700912,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.4,0.4472135954999579,fuller,0.25225825459512674,0.2511264632515402,0.2511264632515402,0.02386894354915238,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.4,0.4472135954999579,bekker,0.06967539550227539,0.05464165305687404,-0.005142632974528169,0.06948535143818295,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.4,0.4472135954999579,jive,0.19228398019299053,0.1901465338699608,0.1901465338699608,0.02859064000854519,,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.4,0.4472135954999579,whiten,0.19223473696323992,0.1900959382639027,0.1900959382639027,0.02859594990365828,0.05,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.4,0.4472135954999579,pca_l,36.05849568490063,3.3049385247493266,-1.7852511855899822,36.014274798506584,0.002,400,20260823
a0.5_k0.5_none_p1,1000,1,500,0.5,0.5,none,0.4,0.4472135954999579,trunc_k1,0.1922347369632399,0.19009593826390264,0.19009593826390264,0.0285959499036584,1.0,400,20260823
