cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.4,0.8944271909999159,tsls,0.11980059613544633,0.11561447754422956,0.11561447754422956,0.031392282755211644,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.4,0.8944271909999159,liml,0.4901153465834737,0.4898378506778491,0.4898378506778491,0.016490391139806142,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.4,0.8944271909999159,fuller,0.49038709200344843,0.49010975864300066,0.49010975864300066,0.016490133004261588,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.4,0.8944271909999159,bekker,0.044361818732988605,0.035230837787357604,-0.0012010808980890055,0.04434555632726671,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.4,0.8944271909999159,jive,0.11979578125408033,0.11561008118752689,0.11561008118752689,0.031390099300398946,,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.4,0.8944271909999159,whiten,0.11980059613544634,0.11561447754422957,0.11561447754422957,0.031392282755211644,0.05,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.4,0.8944271909999159,pca_l,6.871874319504891,1.596945186498124,0.47258233837069163,6.855605195497397,0.01,400,20260823
a0.1_k2.0_none_p1,1000,1,100,0.1,2.0,none,0.4,0.8944271909999159,trunc_k1,0.11980059613544634,0.11561447754422956,0.11561447754422956,0.03139228275521169,1.0,400,20260823
