experiment,cell_id,n,p,q,alpha,cv_method,correction,rejects,B,seed
phase3_size_grid,n1000_a0.3_p5,1000,5,300,0.3,exact_jacobi,johnstone2009,1094,20000,20260823
phase3_size_grid,n1000_a0.3_p5,1000,5,300,0.3,tw,johnstone2009,947,20000,20260823
phase3_size_grid,n1000_a0.3_p5,1000,5,300,0.3,naive_chi2,none,13296,20000,20260823
phase3_size_grid,n1000_a0.3_p25,1000,25,300,0.3,exact_jacobi,johnstone2009,1137,20000,20260823
phase3_size_grid,n1000_a0.3_p25,1000,25,300,0.3,tw,johnstone2009,994,20000,20260823
phase3_size_grid,n1000_a0.3_p25,1000,25,300,0.3,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n1000_a0.3_p100,1000,100,300,0.3,exact_jacobi,johnstone2009,1185,20000,20260823
phase3_size_grid,n1000_a0.3_p100,1000,100,300,0.3,tw,johnstone2009,1106,20000,20260823
phase3_size_grid,n1000_a0.3_p100,1000,100,300,0.3,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n1000_a0.5_p1,1000,1,500,0.5,exact_jacobi,johnstone2009,1046,20000,20260823
phase3_size_grid,n1000_a0.5_p1,1000,1,500,0.5,tw,johnstone2009,799,20000,20260823
phase3_size_grid,n1000_a0.5_p1,1000,1,500,0.5,naive_chi2,none,180,20000,20260823
phase3_size_grid,n1000_a0.5_p2,1000,2,500,0.5,exact_jacobi,johnstone2009,1008,20000,20260823
phase3_size_grid,n1000_a0.5_p2,1000,2,500,0.5,tw,johnstone2009,880,20000,20260823
phase3_size_grid,n1000_a0.5_p2,1000,2,500,0.5,naive_chi2,none,879,20000,20260823
phase3_size_grid,n1000_a0.5_p5,1000,5,500,0.5,exact_jacobi,johnstone2009,1098,20000,20260823
phase3_size_grid,n1000_a0.5_p5,1000,5,500,0.5,tw,johnstone2009,943,20000,20260823
phase3_size_grid,n1000_a0.5_p5,1000,5,500,0.5,naive_chi2,none,9214,20000,20260823
phase3_size_grid,n1000_a0.5_p25,1000,25,500,0.5,exact_jacobi,johnstone2009,1146,20000,20260823
phase3_size_grid,n1000_a0.5_p25,1000,25,500,0.5,tw,johnstone2009,1098,20000,20260823
phase3_size_grid,n1000_a0.5_p25,1000,25,500,0.5,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n1000_a0.5_p100,1000,100,500,0.5,exact_jacobi,johnstone2009,957,20000,20260823
phase3_size_grid,n1000_a0.5_p100,1000,100,500,0.5,tw,johnstone2009,1137,20000,20260823
phase3_size_grid,n1000_a0.5_p100,1000,100,500,0.5,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n1000_a0.7_p1,1000,1,699,0.7,exact_jacobi,johnstone2009,1094,20000,20260823
phase3_size_grid,n1000_a0.7_p1,1000,1,699,0.7,tw,johnstone2009,887,20000,20260823
phase3_size_grid,n1000_a0.7_p1,1000,1,699,0.7,naive_chi2,none,21,20000,20260823
phase3_size_grid,n1000_a0.7_p2,1000,2,699,0.7,exact_jacobi,johnstone2009,1166,20000,20260823
phase3_size_grid,n1000_a0.7_p2,1000,2,699,0.7,tw,johnstone2009,938,20000,20260823
phase3_size_grid,n1000_a0.7_p2,1000,2,699,0.7,naive_chi2,none,105,20000,20260823
phase3_size_grid,n1000_a0.7_p5,1000,5,699,0.7,exact_jacobi,johnstone2009,1228,20000,20260823
phase3_size_grid,n1000_a0.7_p5,1000,5,699,0.7,tw,johnstone2009,1121,20000,20260823
phase3_size_grid,n1000_a0.7_p5,1000,5,699,0.7,naive_chi2,none,2703,20000,20260823
phase3_size_grid,n1000_a0.7_p25,1000,25,699,0.7,exact_jacobi,johnstone2009,1133,20000,20260823
phase3_size_grid,n1000_a0.7_p25,1000,25,699,0.7,tw,johnstone2009,1270,20000,20260823
phase3_size_grid,n1000_a0.7_p25,1000,25,699,0.7,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n1000_a0.7_p100,1000,100,699,0.7,exact_jacobi,johnstone2009,1267,20000,20260823
phase3_size_grid,n1000_a0.7_p100,1000,100,699,0.7,tw,johnstone2009,1582,20000,20260823
phase3_size_grid,n1000_a0.7_p100,1000,100,699,0.7,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n1000_a0.9_p1,1000,1,899,0.9,exact_jacobi,johnstone2009,1163,20000,20260823
phase3_size_grid,n1000_a0.9_p1,1000,1,899,0.9,tw,johnstone2009,1190,20000,20260823
phase3_size_grid,n1000_a0.9_p1,1000,1,899,0.9,naive_chi2,none,0,20000,20260823
