n,alpha,q,kappa,rho,theta,bias_mc,bias_se,bias_formula,rel_gap
500,0.3,150,1.0,0.7071,0.4136,0.210055,0.001204,0.211009,-0.0045
500,0.3,150,1.0,0.7071,0.4864,0.169176,0.001108,0.170108,-0.0055
500,0.3,150,1.0,0.7071,0.5591,0.134420,0.001012,0.135281,-0.0064
500,0.3,150,1.0,0.7071,0.6318,0.104474,0.000912,0.105229,-0.0072
500,0.3,150,1.0,0.7071,0.7045,0.078404,0.000806,0.079033,-0.0080
500,0.3,150,1.0,0.7071,0.7773,0.055477,0.000691,0.055966,-0.0087
500,0.3,150,1.0,0.7071,0.85,0.035211,0.000560,0.035553,-0.0096
500,0.3,150,2.0,0.8944,0.05,0.761291,0.001290,0.760931,0.0005
500,0.3,150,2.0,0.8944,0.1227,0.609635,0.001300,0.610030,-0.0006
500,0.3,150,2.0,0.8944,0.1955,0.493254,0.001259,0.494151,-0.0018
500,0.3,150,2.0,0.8944,0.2682,0.401418,0.001210,0.402597,-0.0029
500,0.3,150,2.0,0.8944,0.3409,0.327048,0.001158,0.328342,-0.0039
500,0.3,150,2.0,0.8944,0.4136,0.265614,0.001101,0.266908,-0.0048
500,0.3,150,2.0,0.8944,0.4864,0.213958,0.001037,0.215172,-0.0056
500,0.3,150,2.0,0.8944,0.5591,0.170034,0.000965,0.171118,-0.0063
500,0.3,150,2.0,0.8944,0.6318,0.132183,0.000884,0.133105,-0.0069
500,0.3,150,2.0,0.8944,0.7045,0.099228,0.000792,0.099970,-0.0074
500,0.3,150,2.0,0.8944,0.7773,0.070240,0.000687,0.070793,-0.0078
500,0.3,150,2.0,0.8944,0.85,0.044609,0.000563,0.044971,-0.0080
500,0.5,250,0.2,0.1961,0.05,0.175936,0.001879,0.177438,-0.0085
500,0.5,250,0.2,0.1961,0.1227,0.151868,0.001756,0.153249,-0.0090
500,0.5,250,0.2,0.1961,0.1955,0.130698,0.001637,0.131974,-0.0097
500,0.5,250,0.2,0.1961,0.2682,0.111986,0.001523,0.113167,-0.0104
500,0.5,250,0.2,0.1961,0.3409,0.095311,0.001411,0.096398,-0.0113
500,0.5,250,0.2,0.1961,0.4136,0.080361,0.001300,0.081354,-0.0122
500,0.5,250,0.2,0.1961,0.4864,0.066868,0.001191,0.067765,-0.0132
500,0.5,250,0.2,0.1961,0.5591,0.054663,0.001080,0.055460,-0.0144
500,0.5,250,0.2,0.1961,0.6318,0.043558,0.000967,0.044252,-0.0157
500,0.5,250,0.2,0.1961,0.7045,0.033413,0.000850,0.034000,-0.0173
500,0.5,250,0.2,0.1961,0.7773,0.024099,0.000724,0.024574,-0.0193
500,0.5,250,0.2,0.1961,0.85,0.015546,0.000583,0.015901,-0.0224
500,0.5,250,0.5,0.4472,0.05,0.403424,0.001725,0.404622,-0.0030
500,0.5,250,0.5,0.4472,0.1227,0.348388,0.001626,0.349462,-0.0031
500,0.5,250,0.5,0.4472,0.1955,0.299919,0.001526,0.300948,-0.0034
500,0.5,250,0.5,0.4472,0.2682,0.257049,0.001429,0.258059,-0.0039
500,0.5,250,0.5,0.4472,0.3409,0.218828,0.001332,0.219821,-0.0045
