experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.93,0.0,1.0,1.0,0.9361052227364344,0.9310358464184048,0.9416246109813518,0.937,300,20260823,1.0,0.07771815808991533
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.01,0.0,0.18666666666666668,0.18666666666666668,0.18589355113223227,0.16542595173289915,0.20502533709778523,0.10900000000000001,300,20260823,0.0,4.902339154777203
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.02,0.0,0.5,0.5033333333333333,0.21373492394616225,0.18896108229717368,0.23299719051860213,0.11800000000000001,300,20260823,0.0,5.569022524485884
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.04,0.0,0.9333333333333333,0.9333333333333333,0.2815385032428571,0.25331224178198136,0.306987377974788,0.136,300,20260823,0.0,7.164632155006549
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.07,0.0,0.9966666666666667,0.9966666666666667,0.35995399466181716,0.3270124518268554,0.3912153308204357,0.16300000000000003,300,20260823,0.0,8.330635623587142
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.1,0.0,1.0,1.0,0.43272087255884495,0.4029926292290084,0.4673838846627674,0.19,300,20260823,0.023333333333333334,9.263387326003444
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.15,0.0,1.0,1.0,0.528666702861394,0.49864577369792906,0.5594976524184154,0.23500000000000001,300,20260823,0.5133333333333333,10.173279184133886
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.22,0.0,1.0,1.0,0.6360270113829164,0.6073513026674626,0.6598629491936845,0.29800000000000004,300,20260823,1.0,11.115274440899142
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.32,0.0,1.0,1.0,0.7371423246094939,0.709345599565991,0.7556732267936049,0.388,300,20260823,1.0,11.680023419331295
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.45,0.0,1.0,1.0,0.8271683954317537,0.8153327648438184,0.8409616863100294,0.505,300,20260823,1.0,12.141873968207522
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.62,0.0,1.0,1.0,0.9041014663360356,0.8943681357857313,0.9125470790793496,0.658,300,20260823,1.0,12.484104838332524
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.8,0.0,1.0,1.0,0.958202585682763,0.9546923590802348,0.9614639918140219,0.8200000000000001,300,20260823,1.0,12.693217479980046
phase3_power_surface,n250_a0.1_p5,250,5,25,0.1,0.93,0.0,1.0,1.0,0.9868283095842731,0.9856033291062469,0.9880858800166326,0.937,300,20260823,1.0,12.70107594244466
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.01,0.0,0.07333333333333333,0.06,0.511112552008925,0.4813143202411102,0.5367036415431796,0.505,300,20260823,0.0,0.17165871352197404
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.02,0.0,0.08666666666666667,0.06666666666666667,0.5059761133706066,0.4777441970851363,0.5368927623611037,0.51,300,20260823,0.0,0.11300145914471005
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.04,0.0,0.11666666666666667,0.09333333333333334,0.5191505324366482,0.4857784859075174,0.5495765949504718,0.52,300,20260823,0.0,0.023885712105757295
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.07,0.0,0.23666666666666666,0.2,0.5342733596858901,0.5035692405699634,0.5669771548056137,0.535,300,20260823,0.0,0.02049905222219045
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.1,0.0,0.2833333333333333,0.25,0.5447790361698677,0.5174744908743674,0.5748603344689713,0.55,300,20260823,0.0,0.1479104442371665
phase3_power_surface,n250_a0.5_p1,250,1,124,0.5,0.15,0.0,0.49333333333333335,0.44333333333333336,0.5683695360827343,0.5392006553765377,0.6000827004826914,0.575,300,20260823,0.0,0.19006227974365464
