experiment,cell_id,n,p,q,alpha,kappa,theta,hetero,B,pred_wall_h,pred_ram_gb,placement,notebook_id,local_eligible
phase3_size_grid,n250_a0.1_p1,250,1,25,0.1,,,,20000,0.16686042906746032,0.20339001417160035,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.1_p2,250,2,25,0.1,,,,20000,0.16686042906746032,0.20352039933204652,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.1_p5,250,5,25,0.1,,,,20000,0.16686042906746032,0.20391155481338502,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.3_p1,250,1,75,0.3,,,,20000,0.16841052827380953,0.2099092721939087,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.3_p2,250,2,75,0.3,,,,20000,0.16841052827380953,0.21003965735435487,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.3_p5,250,5,75,0.3,,,,20000,0.16841052827380953,0.21043081283569337,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.5_p1,250,1,124,0.5,,,,20000,0.17143353174603174,0.21629814505577089,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.5_p2,250,2,124,0.5,,,,20000,0.17143353174603174,0.21642853021621705,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.5_p5,250,5,124,0.5,,,,20000,0.17143353174603174,0.21681968569755555,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.7_p1,250,1,174,0.7,,,,20000,0.17605282738095238,0.22281740307807923,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.7_p2,250,2,174,0.7,,,,20000,0.17605282738095238,0.2229477882385254,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.7_p5,250,5,174,0.7,,,,20000,0.17605282738095238,0.2233389437198639,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.9_p1,250,1,224,0.9,,,,20000,0.1822222222222222,0.22933666110038758,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.9_p2,250,2,224,0.9,,,,20000,0.1822222222222222,0.22946704626083375,NOTEBOOK,NB16,YES
phase3_size_grid,n250_a0.9_p5,250,5,224,0.9,,,,20000,0.1822222222222222,0.22985820174217225,NOTEBOOK,NB16,YES
phase3_size_grid,n500_a0.1_p1,500,1,50,0.1,,,,20000,0.16821676587301587,0.21329928636550904,NOTEBOOK,NB16,YES
phase3_size_grid,n500_a0.1_p2,500,2,50,0.1,,,,20000,0.16821676587301587,0.21356005668640138,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.1_p5,500,5,50,0.1,,,,20000,0.16821676587301587,0.21434236764907838,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.3_p1,500,1,150,0.3,,,,20000,0.1806175595238095,0.23937631845474244,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.3_p2,500,2,150,0.3,,,,20000,0.1806175595238095,0.23963708877563478,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.3_p5,500,5,150,0.3,,,,20000,0.1806175595238095,0.24041939973831178,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.5_p1,500,1,250,0.5,,,,20000,0.20541914682539678,0.26545335054397584,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.5_p2,500,2,250,0.5,,,,20000,0.20541914682539678,0.2657141208648682,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.5_p5,500,5,250,0.5,,,,20000,0.20541914682539678,0.2664964318275452,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.7_p1,500,1,349,0.7,,,,20000,0.24218812003968254,0.2912696123123169,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.7_p2,500,2,349,0.7,,,,20000,0.24218812003968254,0.29153038263320924,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.7_p5,500,5,349,0.7,,,,20000,0.24218812003968254,0.29231269359588624,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.9_p1,500,1,449,0.9,,,,20000,0.29166728670634917,0.3173466444015503,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.9_p2,500,2,449,0.9,,,,20000,0.29166728670634917,0.31760741472244264,NOTEBOOK,NB15,YES
phase3_size_grid,n500_a0.9_p5,500,5,449,0.9,,,,20000,0.29166728670634917,0.31838972568511964,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.1_p1,1000,1,100,0.1,,,,20000,0.17906746031746032,0.2526756048202515,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.1_p2,1000,2,100,0.1,,,,20000,0.17906746031746032,0.25319714546203614,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.1_p5,1000,5,100,0.1,,,,20000,0.17906746031746032,0.25476176738739015,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.1_p25,1000,25,100,0.1,,,,20000,0.17906746031746032,0.2651925802230835,NOTEBOOK,NB15,YES
phase3_size_grid,n1000_a0.1_p100,1000,100,100,0.1,,,,20000,0.17906746031746032,0.3043081283569336,NOTEBOOK,NB13,YES
phase3_size_grid,n1000_a0.3_p1,1000,1,300,0.3,,,,20000,0.2782738095238095,0.35698373317718507,NOTEBOOK,NB15,YES
